"fips","name","population","population18To34","population18To34_me","population18To34_p","population18To34_pme","white","white_me","white_p","white_pme","minority","minority_me","minority_p","minority_pme","neverMarried","neverMarried_me","neverMarried_p","neverMarried_pme","liveAlone","liveAlone_me","liveAlone_p","liveAlone_pme","educationBachelor","educationBachelor_me","educationBachelor_p","educationBachelor_pme","civilian","veteran","veteran_me","veteran_p","veteran_pme","foreignBorn","foreignBorn_me","foreignBorn_p","foreignBorn_pme","otherLanguage","otherLanguage_me","otherLanguage_p","otherLanguage_pme","medianEarnings","medianEarnings_me","povertyUniverse","poverty","poverty_me","poverty_p","poverty_pme","employed","employed_me","employed_p","employed_pme","commuter","droveToWork","droveToWork_me","droveToWork_p","droveToWork_pme","liveWithParent","liveWithParent_me","liveWithParent_p","liveWithParent_pme"
"01","Alabama","4447100","1036314","3607","23.3",".10000","689383","4773","66.5",".30000","346931","3537","33.5",".30000","485146","2660","46.8",".20000","80665","1139","7.79999999998836",".10000","156275","1571","15.1",".10000","1028900","43745","842","4.3",".10000","35497","828","3.4",".10000","61140","994","5.9",".10000","32561","","982105","183307","1850","18.6999999999534",".20000","681713","3074","65.7999999998137",".20000","676071","646770","3008","95.6999999992549",".10000","246156","1951","23.7999999998137",".20000"
"02","Alaska","626932","146078","1354","23.3",".20000","95563","1780","65.3999999994412",".80000","50515","1348","34.5999999996275",".80000","70947","1015","48.6",".50000","11006","421","7.5",".30000","21285","580","14.6",".40000","134112","10230","406","7.6",".30000","9940","437","6.8",".30000","21672","585","14.8",".40000","37889","","138674","15315","540","11",".40000","90743","1127","62.0999999996275",".50000","100257","81730","1079","81.5",".50000","26895","649","18.3999999999069",".40000"
"04","Arizona","5130632","1251724","4652","24.4",".10000","685748","5954","54.7999999998137",".30000","565976","5481","45.1999999997206",".30000","628343","3551","50.2",".20000","87155","1400","7",".10000","198362","2088","15.8",".20000","1237551","54319","1109","4.4",".10000","252165","2522","20.1",".20000","416308","3185","33.3",".20000","35696","","1203826","212050","2488","17.5999999998603",".20000","844666","4017","67.5",".20000","841108","751536","3830","89.3999999994412",".20000","248961","2327","19.8999999999069",".20000"
"05","Arkansas","2673400","610904","2778","22.9",".10000","454882","3842","74.5",".30000","156022","2397","25.5",".30000","252305","1934","41.3",".30000","42334","826","6.89999999996508",".10000","77955","1113","12.8",".20000","607384","27734","670","4.6",".10000","31358","777","5.1",".10000","47988","878","7.9",".10000","30675","","579875","105763","1407","18.1999999999534",".20000","416336","2399","68.1999999992549",".20000","412453","390383","2336","94.5999999996275",".10000","126442","1404","20.6999999999534",".20000"
"06","California","33871648","8520053","12075","25.2",".00000","3213595","13174","37.6999999997206",".10000","5306458","16341","62.2999999998137",".10000","4652169","9579","54.6",".10000","486077","3310","5.69999999995343",".00000","1586913","5881","18.6",".10000","8408646","237294","2321","2.8",".00000","3097522","8639","36.4",".10000","4039258","9713","47.4",".10000","39494","","8194840","1408041","6410","17.1999999999534",".10000","5459540","10233","64.0999999996275",".10000","5439192","4625012","9556","85",".10000","2093848","6702","24.5999999998603",".10000"
"08","Colorado","4301261","1092294","3653","25.4",".10000","749552","4920","68.5999999996275",".30000","342742","3512","31.3999999999069",".30000","553818","2811","50.7",".20000","95448","1236","8.69999999995343",".10000","269583","2034","24.7",".20000","1072920","51322","911","4.8",".10000","151992","1690","13.9",".10000","213403","1822","19.5",".20000","39020","","1043582","136398","1604","13.0999999999767",".10000","801889","3268","73.3999999994412",".20000","804311","701110","3100","87.1999999992549",".20000","179122","1676","16.3999999999069",".10000"
"09","Connecticut","3405565","719211","3602","21.1",".10000","497300","5034","69.0999999996275",".40000","221911","3518","30.8999999999069",".40000","404503","2855","56.2",".30000","54019","1103","7.5",".10000","188894","2020","26.3",".20000","713256","19488","666","2.7",".10000","99092","1597","13.8",".20000","170246","2071","23.7",".30000","44459","","666562","68980","1434","10.2999999999302",".20000","515607","3163","71.6999999992549",".30000","510063","451203","2992","88.5",".20000","183183","1991","25.5",".20000"
"10","Delaware","783600","182915","1791","23.3",".20000","122752","2485","67.0999999996275",".80000","60163","1820","32.8999999999069",".80000","100047","1413","54.7",".60000","12615","533","6.89999999996508",".30000","38185","911","20.9",".50000","180500","7819","421","4.3",".20000","15584","636","8.5",".30000","24520","794","13.4",".40000","39420","","169623","20588","781","12.0999999999767",".40000","130553","1577","71.3999999994412",".50000","130236","116945","1508","89.7999999998137",".40000","42236","956","23.0999999998603",".50000"
"11","District of Columbia","572059","174255","1665","30.5",".30000","65479","1860","37.5999999996275",".90000","108776","2293","62.3999999999069",".90000","129230","1512","74.2",".50000","31390","824","18",".40000","65366","1151","37.5",".60000","172077","3909","298","2.3",".20000","29935","867","17.2",".50000","37860","968","21.7",".50000","44844","","152794","32031","959","21",".60000","109505","1423","62.7999999998137",".60000","109662","47734","1000","43.5",".70000","26982","767","15.5",".40000"
"12","Florida","15982378","3386829","7812","21.2",".00000","1900023","9995","56.0999999996275",".20000","1486806","8970","43.8999999999069",".20000","1763937","5990","52.1",".10000","247347","2360","7.29999999998836",".10000","566500","3535","16.7",".10000","3345763","153692","1866","4.6",".10000","711687","4247","21.0",".10000","985860","4953","29.1",".10000","34654","","3242155","503982","3855","15.5",".10000","2328038","6744","68.6999999992549",".10000","2316275","2129313","6496","91.8999999994412",".10000","782679","4126","23.0999999998603",".10000"
